Russian,English
себя,himself
должен ,must
хочешь ,want
давай,let's
эй ,Hey
ещё,still
никогда ,never
тоже,also
тогда ,then
него ,it
были,It was
конечно ,of course
ни,or
об ,about
правда,true
тут,here
моя,my
пожалуйста,you are welcome
сказать ,to tell
тобой ,you
сегодня ,Today
один ,one
можешь,can
лучше ,it's better
сюда ,here
мной ,me
сделать ,make
значит ,so
всегда ,is always
ей ,to her
порядке,order of
дело ,business
должны ,should
том ,Tom
можно ,can
без ,without
день ,day
буду ,I will
делать ,make
хотел ,I wanted
эти ,these
много ,many
этим ,these
после ,after
чего ,what
всего ,Total
твой ,your
во ,in
ним ,it
лет ,years
боже ,Christ
них,them
мистер ,Mr
жизнь ,a life
ней ,her
ведь ,after all
такой,such
потом,later
который ,which the
немного ,Little
возможно,possibly
через ,across
сэр ,sir
всех ,all
слишком ,too
себе ,himself
им ,them
такое ,this
должна,must
моей ,my
знаете ,you know
думаешь ,think
этой ,this
люди ,people
зачем ,what for
свою ,its
твоя ,yours
сказала ,He said
человек ,person
назад ,ago
эту ,this
под ,under
точно ,exactly
можем ,can
отец ,father
мама ,mother
случилось,It happened
мог ,could
вместе ,together
сделал ,made
кажется ,it seems
мои ,my
друг ,friend
никто ,no one
куда ,where
эта ,this
которые,that
два ,two
тот ,the
